"region";"vaccine";"n_dose";"year";"cov1y";"cov2y";"cov3y";"cov4y";"cov5y"
"north west";"MMR";1;2005;"0.698625";"0.92";"0.932844581625292";"0.943544369154264";"0.955387963379859"
"north west";"MMR";1;2006;"0.703875";"0.9315";"0.939792734530833";"0.941104996605135";"0.948451678692672"
"north west";"MMR";1;2007;"0.653625";"0.9385";"0.949530742359132";"0.948468766934286";"0.946636961595587"
"north west";"MMR";1;2008;"0.683175";"0.8715";"0.95575498106652";"0.957434415533874";"0.954279069156275"
"north west";"MMR";1;2009;"0.685275";"0.9109";"0.9226";"0.9633186036989";"0.962727472045604"
"north west";"MMR";2;2005;"0";"0";"0.351917445098663";"0.701700356262343";"0.882597928860873"
"north west";"MMR";2;2006;"0";"0";"0.3546240729669";"0.703834890197326";"0.881865472241226"
"north west";"MMR";2;2007;"0";"0";"0.363251001457369";"0.7092481459338";"0.884548058561426"
"north west";"MMR";2;2008;"0.0006";"0";"0.369605811256423";"0.726502002914738";"0.891351195090864"
"north west";"MMR";2;2009;"0.0005";"0.0008";"0.34545";"0.739211622512845";"0.913035067129242"
"south east";"MMR";1;2005;"0.691656698380165";"0.906729835570248";"0.910090826916431";"0.927138142067951";"0.939721218378937"
"south east";"MMR";1;2006;"0.698807363553719";"0.922208931173554";"0.918429784379816";"0.919073106908676";"0.929369688838851"
"south east";"MMR";1;2007;"0.634275";"0.931743151404958";"0.932715487028588";"0.926982694935404";"0.92147848288973"
"south east";"MMR";1;2008;"0.691275";"0.8457";"0.943086843084335";"0.94039600204092";"0.929273089538587"
"south east";"MMR";1;2009;"0.691425";"0.9217";"0.8881";"0.951379322127024";"0.942452776751655"
"south east";"MMR";2;2005;"0";"0";"0.358588472589899";"0.718757913918583";"0.861610738255034"
"south east";"MMR";2;2006;"0";"0";"0.360356314751608";"0.717176945179797";"0.864203335239369"
"south east";"MMR";2;2007;"0.0013";"0";"0.369820777862313";"0.720712629503217";"0.8623024470119"
"south east";"MMR";2;2008;"0.0052";"0.0018";"0.37960116216583";"0.739641555724627";"0.866553600460763"
"south east";"MMR";2;2009;"0.0042";"0.0069";"0.3645";"0.75920232433166";"0.88931292019313"
"south west";"MMR";1;2005;"0.69825";"0.9025";"0.923605270927436";"0.94366925682432";"0.953539000690278"
"south west";"MMR";1;2006;"0.70125";"0.931";"0.92845612771478";"0.935823761893588";"0.947100741336705"
"south west";"MMR";1;2007;"0.6357";"0.935";"0.945303290519534";"0.945972833941957";"0.939725464891183"
"south west";"MMR";1;2008;"0.6738";"0.8476";"0.94925743493765";"0.954955983743492";"0.951566403997694"
"south west";"MMR";1;2009;"0.68295";"0.8984";"0.9005";"0.9588791821451";"0.95803835636963"
"south west";"MMR";2;2005;"0";"0";"0.343348043644043";"0.690858778231136";"0.88354661144445"
"south west";"MMR";2;2006;"0";"0";"0.351214619770645";"0.686696087288086";"0.894431354519855"
"south west";"MMR";2;2007;"0.0008";"0";"0.352942562834775";"0.70242923954129";"0.889042060186543"
"south west";"MMR";2;2008;"0.0006";"0.001";"0.35722423233849";"0.705885125669551";"0.909411237106797"
"south west";"MMR";2;2009;"0.0005";"0.0008";"0.3312";"0.71444846467698";"0.913885455294602"
"west midlands";"MMR";1;2005;"0.693";"0.914";"0.932835138404769";"0.943918968038789";"0.958631240190872"
"west midlands";"MMR";1;2006;"0.7035";"0.924";"0.936567675691122";"0.93911485371604";"0.950598654264793"
"west midlands";"MMR";1;2007;"0.69";"0.938";"0.943802972093023";"0.943058066360978";"0.946966296169938"
"west midlands";"MMR";1;2008;"0.695625";"0.92";"0.95607945603087";"0.94949824293381";"0.951172913343966"
"west midlands";"MMR";1;2009;"0.698925";"0.9275";"0.9506";"0.96127904921649";"0.956618962432916"
"west midlands";"MMR";2;2005;"0";"0";"0.398533129679841";"0.791885585295864";"0.890217029439275"
"west midlands";"MMR";2;2006;"0";"0";"0.400897136662679";"0.797066259359681";"0.887863645359193"
"west midlands";"MMR";2;2007;"0.0008";"0";"0.406817583090105";"0.801794273325359";"0.893672227110305"
"west midlands";"MMR";2;2008;"0.001";"0.0011";"0.416568952582403";"0.813635166180209";"0.898973285486443"
"west midlands";"MMR";2;2009;"0.0003";"0.0014";"0.41305";"0.833137905164805";"0.912249317390076"
"yorkshire and the humber";"MMR";1;2005;"0.696";"0.916";"0.940307480419247";"0.943130825427012";"0.952859035776169"
"yorkshire and the humber";"MMR";1;2006;"0.70125";"0.928";"0.936846021243569";"0.945246246486734";"0.946865645360099"
"yorkshire and the humber";"MMR";1;2007;"0.674475";"0.935";"0.948183682806876";"0.942043735449551";"0.949620082945086"
"yorkshire and the humber";"MMR";1;2008;"0.6891";"0.8993";"0.95580688892984";"0.953216250587008";"0.946646899799424"
"yorkshire and the humber";"MMR";1;2009;"0.698475";"0.9188";"0.9378";"0.96099484594616";"0.95767315908097"
"yorkshire and the humber";"MMR";2;2005;"0";"0";"0.398447824625289";"0.792585349533369";"0.879794788162946"
"yorkshire and the humber";"MMR";2;2006;"0";"0";"0.398805796633819";"0.796895649250578";"0.879380172565593"
"yorkshire and the humber";"MMR";2;2007;"0";"0";"0.410041170064251";"0.797611593267638";"0.88416248668654"
"yorkshire and the humber";"MMR";2;2008;"0";"0";"0.417166383393627";"0.820082340128503";"0.884956832650214"
"yorkshire and the humber";"MMR";2;2009;"0.0002";"0";"0.4102";"0.834332766787255";"0.909888317018199"
