"region";"vaccine";"n_dose";"year";"cov1y";"cov2y";"cov3y";"cov4y";"cov5y"
"south west";"MMR";2;2008;0;0;0.32824846467698;0.639370251339102;0.818822474213595
"south west";"MMR";2;2009;0;0;0.32928371768792;0.65649692935396;0.827770910589205
"south west";"MMR";2;2010;0;0;0.37659214558215;0.65856743537584;0.8499442379
"south west";"MMR";2;2011;0;0;0.407863253528;0.7531842911643;0.8526248516
"south west";"MMR";2;2012;0;0;0.429970369816575;0.815726507056;0.848085003
"south west";"MMR";2;2013;0;0;0.430556007141645;0.85994073963315;0.8866592468
"south west";"MMR";2;2014;0;0;0.43104229581816;0.86111201428329;0.9039637755
"south west";"MMR";2;2015;0;0;0.42005286867535;0.86208459163632;0.9092091799
"south west";"MMR";2;2016;0;0;0.42466859686005;0.8401057373507;0.9059316852
"south west";"MMR";2;2017;0;0;0.42856622768925;0.8493371937201;0.8999525842
"south west";"MMR";2;2018;0;0;0.432566673651;0.8571324553785;0.909062607
"south west";"MMR";2;2019;0;0;0.4311140252265;0.865133347302;0.9070184713
"west midlands";"MMR";1;2005;0.703;0.838;0.875670276809538;0.897837936077578;0.927262480381744
"west midlands";"MMR";1;2006;0.7135;0.858;0.883135351382244;0.888229707432081;0.911197308529586
"west midlands";"MMR";1;2007;0.7;0.886;0.897605944186047;0.896116132721956;0.903932592339876
"west midlands";"MMR";1;2008;0.705625;0.891;0.92215891206174;0.908996485867621;0.912345826687932
"west midlands";"MMR";1;2009;0.708925;0.894;0.92653120429508;0.93255809843298;0.923237924865832
"west midlands";"MMR";1;2010;0.716275;0.9150155736;0.92652954443544;0.93674986393916;0.9455600594
"west midlands";"MMR";1;2011;0.72265;0.9253533666;0.93950640748284;0.94684420342848;0.9495261148
"west midlands";"MMR";1;2012;0.7303;0.9303710807;0.94828152934307;0.95225022109524;0.9532955604
"west midlands";"MMR";1;2013;0.7291;0.9373874855;0.94877668558013;0.96082779485641;0.9570743644
"west midlands";"MMR";1;2014;0.72985;0.9456846473;0.95381918659658;0.96205457632846;0.9646340977
